id,name,party,constituency
FAR55,Faris Al-Rawi,PNM,San Fernando West
KHA15,Khadijah Ameen,UNC,St. Augustine
BAG01,Bridgid Annisette-George,Speaker of the House,""
PBE01,Pennelope Beckles,PNM,Arima
MBE20,Michelle Benjamin,UNC,Moruga/Tableland
LBO15,Lackram Bodoe,UNC,Fyzabad
RCH15,Rodney Charles,UNC,Naparima
SCU56,Shamfa Cudjoe,PNM,Tobago West
FCU01,Foster Cummings,PNM,La Horquetta/Talparo
SDE20,Symon de Nobriga,PNM,Diego Martin Central
TDY10,Terrence Deyalsingh,PNM,St. Joseph
ESF15,Esmond Forde,PNM,Tunapuna
NGD15,Nyan Gadsby-Dolly,PNM,St. Ann's East
MGO20,Marvin Gonzales,PNM,Lopinot/Bon Air West
ANH17,Anita Haynes,UNC,Tabaquite
FHI05,Fitzgerald Hinds,PNM,Laventille West
SHS17,Saddam Hosein,UNC,Barataria/San Juan
CI839,Colm Imbert,PNM,Diego Martin North/East
RIN01,Rudranath Indarsingh,UNC,Couva South
DVL15,David Lee,UNC,Pointe-a-Pierre
ADL15,Adrian Leonce,PNM,Laventille East/Morvant
BMA20,Brian Manning,PNM,San Fernando East
SMC20,Stephen Mc Clashie,PNM,La Brea
VMO20,Vandana Mohit,UNC,Chaguanas East
RMO20,Roger Monroe,PNM,Toco/Sangre Grande
RMO01,Roodal Moonilal,UNC,Oropouche East
LMO20,Lisa Morris-Julian,PNM,D'Abadie/O'Meara
BRP15,Barry Padarath,UNC,Princes Town
RUP15,Rushton Paray,UNC,Mayaro
KPB01,Kamla Persad-Bissessar,UNC,Siparia
RRA20,Rai Ragbir,UNC,Cumuto/Manzanilla
AR850,Arnold Ram,UNC,Caroni Central
DRA20,Dinesh Rambally,UNC,Chaguanas West
RVR10,Ravi Ratiram,UNC,Couva North
KRI20,Kennedy Richards,PNM,Point Fortin
CRO01,Camille Robinson-Regis,PNM,Arouca/Maloney
KRO01,Keith Rowley,PNM,Diego Martin West
KSC20,Keith Scotland,PNM,Port-of-Spain South
RSE20,Rishad Seecheran,UNC,Caroni East
DTA20,Davendranath Tancoo,UNC,Oropouche West
AWR15,Ayanna Webster-Roy,PNM,Tobago East
SYO14,Stuart Young,PNM,Port-of-Spain North/St. Ann's West
