item,name
Q107504948,Adrian Leonce
Q107504947,Anita Haynes
Q107504945,Arnold Ram
Q107504944,Ayanna Webster-Roy
Q107504943,Barry Padarath
Q107504941,Brian Manning
Q22958412,Bridgid Annisette-George
Q43901152,Camille Robinson-Regis
Q5147678,Colm Imbert
Q107504936,Davendranath Tancoo
Q107504931,David Lee
Q107504919,Dinesh Rambally
Q107504912,Esmond Forde
Q22279937,Faris Al-Rawi
Q107504795,Fitzgerald Hinds
Q107504794,Foster Cummings
Q57712,Kamla Persad-Bissessar
Q6384971,Keith Rowley
Q107504785,Keith Scotland
Q107504783,Kennedy Richards
Q107504781,Khadijah Ameen
Q107504779,Lackram Bodoe
Q107504770,Lisa Morris-Julian
Q107504750,Marvin Gonzales
Q107504739,Michelle Benjamin
Q107504727,Nyan Gadsby-Dolly
Q37294256,Pennelope Beckles
Q107504706,Rai Ragbir
Q107504704,Ravi Ratiram
Q107504701,Rishad Seecheran
Q107504700,Rodney Charles
Q107504698,Roger Monroe
Q16196609,Roodal Moonilal
Q107504691,Rudranath Indarsingh
Q107504686,Rushton Paray
Q107504675,Saddam Hosein
Q107504665,Shamfa Cudjoe
Q107504654,Stephen Mc Clashie
Q107504646,Stuart Young
Q107504628,Symon de Nobriga
Q107504625,Terrence Deyalsingh
Q107504616,Vandana Mohit
